question_id,source_layer,department,section_or_level,question_text,answer_status,answer_column,dropdown_module,destination_view,local_ollama_enabled,web_research_enabled,fidic_check_enabled,egypt_law_check_enabled,project_data_required,evidence_fields_required,response_template,search_keywords,source_file
QB-MAIN-0001,Main Technical Question Bank,Executive Technical Oversight,Technical Governance,"What technical issue is currently creating the highest schedule, cost, safety, quality, or contractual exposure?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Governance, schedule, cost, quality, safety, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0012,Main Technical Question Bank,Executive Technical Oversight,Technical Governance,Which lessons learned must be standardized across all projects?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Governance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0013,Main Technical Question Bank,Executive Technical Oversight,Technical Governance,Which technical KPI should be reviewed weekly by senior management?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Governance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0014,Main Technical Question Bank,Executive Technical Oversight,Technical Governance,Which technical deviation can be accepted commercially and contractually?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Governance, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0015,Main Technical Question Bank,Executive Technical Oversight,Technical Governance,Which technical decision has the strongest impact on future maintenance and lifecycle cost?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Governance, cost, maintenance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0016,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What evidence supports the technical recommendation?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0017,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What alternatives were evaluated before selecting the technical solution?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0018,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What is the risk if management takes no decision?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance, risk",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0019,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What is the impact of the decision on the critical path?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance, critical path",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0020,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,"What is the impact of the decision on cash flow, margin, and claim recovery?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance, claim, cash flow",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0021,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What stakeholder approval is required before implementation?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0022,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What contractual notice or reservation must accompany the decision?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0023,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What budget or contingency will be consumed by the decision?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0024,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What implementation owner and deadline are required?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0025,Main Technical Question Bank,Executive Technical Oversight,Technical Decision Assurance,What dashboard indicator will prove the decision worked?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Executive Technical Oversight, Technical Decision Assurance",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0026,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Is the project technically ready to execute the next four weeks of work?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0027,Main Technical Question Bank,Project Management and Operations,Project Technical Control,"Which activities are blocked by drawings, approvals, materials, access, inspections, or subcontractor readiness?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, drawing, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0028,Main Technical Question Bank,Project Management and Operations,Project Technical Control,What is the most critical technical constraint affecting site progress today?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0029,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which technical decision is required from the Consultant or Employer?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0030,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which site issue needs formal instruction before proceeding?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0031,Main Technical Question Bank,Project Management and Operations,Project Technical Control,"Which workfronts are available, partially available, or fully blocked?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0032,Main Technical Question Bank,Project Management and Operations,Project Technical Control,"Which activities can be resequenced without creating quality, safety, or contractual risk?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, quality, safety, risk, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0033,Main Technical Question Bank,Project Management and Operations,Project Technical Control,"Which technical interfaces between civil, architectural, MEP, and external works require immediate coordination?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0034,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which issue is creating repeated idle manpower or equipment?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0035,Main Technical Question Bank,Project Management and Operations,Project Technical Control,"Which site problem may become a variation, EOT event, or claim?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, eot, claim",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0036,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which subcontractor requires technical intervention?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0037,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which rejected work is delaying the next activity?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, delay",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0038,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which authority approval affects project milestones?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0039,Main Technical Question Bank,Project Management and Operations,Project Technical Control,Which technical risk should be included in the weekly management report?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, risk",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0040,Main Technical Question Bank,Project Management and Operations,Project Technical Control,What evidence is required from site to support technical and contractual positions?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Project Technical Control, contract",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0041,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What technical recovery options are feasible without compromising quality or safety?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery, quality, safety",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0042,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What resources are required to recover delayed technical activities?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery, delay",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0043,Main Technical Question Bank,Project Management and Operations,Operational Recovery,"Which materials, equipment, drawings, permits, or inspections must be prioritized for recovery?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery, drawing",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0044,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What acceleration measure requires client approval or commercial reservation?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0045,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What temporary works are required to unlock progress?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0046,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What alternative construction sequence is technically acceptable?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0047,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What productivity target is required to regain the baseline trajectory?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0048,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What technical risks will increase if acceleration is implemented?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery, risk, ncr",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0049,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What daily evidence must be collected during recovery?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0050,Main Technical Question Bank,Project Management and Operations,Operational Recovery,What decision must be escalated if recovery is not achievable?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Project Management and Operations, Operational Recovery",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0051,Main Technical Question Bank,Technical Office and Engineering Coordination,Drawing and Design Control,What is the latest approved drawing revision?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Technical Office and Engineering Coordination, Drawing and Design Control, drawing",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0052,Main Technical Question Bank,Technical Office and Engineering Coordination,Drawing and Design Control,Are all site teams using the latest approved documents?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Technical Office and Engineering Coordination, Drawing and Design Control",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0053,Main Technical Question Bank,Technical Office and Engineering Coordination,Drawing and Design Control,"What drawings are missing, superseded, rejected, or overdue?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Technical Office and Engineering Coordination, Drawing and Design Control, drawing",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0054,Main Technical Question Bank,Technical Office and Engineering Coordination,Drawing and Design Control,Which drawing conflicts affect site work?,Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Technical Office and Engineering Coordination, Drawing and Design Control, drawing",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
QB-MAIN-0055,Main Technical Question Bank,Technical Office and Engineering Coordination,Drawing and Design Control,"Which design revisions affect scope, quantity, cost, or schedule?",Needs project-specific AI answer,,Problem Solving Engine,Question Bank / Live Solver,YES,YES,YES,YES,YES,issue | evidence | owner | impact | decision | deadline | escalation | closure,Issue → Evidence → Root Cause → Impact → Decision Required → Owner & Deadline → Closure Evidence,"Technical Office and Engineering Coordination, Drawing and Design Control, schedule, cost",Construction_Maintenance_Technical_Question_Bank_Enhanced_Learning_KnowHow.docx
